"id","name","affiliation","total_cites","h_index","i10_index","fields","homepage","interests","coauthors","scholar"
"LUIVSvAAAAAJ&hl=en&oi=sra","Anthony J. Krafnick","Assistant Professor, Dominican University",485,8,7,"verified email at dom.edu",NA,"Dyslexia;;Reading Development;;Learning and Plasticity;;Neuroimaging","Guinevere Eden;;Tanya M. Evans;;Andrew  J. McElrone;;Diana Alkire;;Wai Ting Siok;;Charles Perfetti;;Li-Hai Tan;;Anastasiya Danylkiv;;Lauren Ullrich;;Patrick A. Forcelli;;Sort by citations;;Sort by year;;Sort by title","LUIVSvAAAAAJ&hl=en&oi=sra"
"9b55074AAAAJ&hl=en&oi=sra","Julia Beitner","PhD Student at Scene Grammar Lab, Goethe University Frankfurt",512,5,3,"verified email at psych.uni-frankfurt.de - homepage","https://juliabeitner.com/","cognitive neuroscience;;scene perception;;virtual reality;;open science","Stefan Czoschke;;Sort by citations;;Sort by year;;Sort by title","9b55074AAAAJ&hl=en&oi=sra"
"wGG4moQAAAAJ&hl=en&oi=sra","Anna O. Kuzminska","University of Warsaw",46,4,1,"verified email at uw.edu.pl",NA,"","Tomasz Zaleskiewicz;;Agata Gąsiorowska;;Grazyna Wieczorkowska Wierzbinska;;Pawel Tomczak;;Michal Zdziarski;;Gabriela F. (Tina) Nane;;Sort by citations;;Sort by year;;Sort by title","wGG4moQAAAAJ&hl=en&oi=sra"
"K6X2YpAAAAAJ&hl=en&oi=sra","Elkin Oswaldo Luis García","Universidad de navarra",350,11,12,"verified email at alumni.unav.es",NA,"Neurociencias;;VBM;;age","Gonzalo Arrondo;;Francis R. Loayza ( https://orcid.org/ 0...;;Maria A. Fernandez Seara;;Marta Vidorreta;;Pau Pastor;;Bruno A. Benitez, MD;;Carlos Cruchaga;;Sort by citations;;Sort by year;;Sort by title","K6X2YpAAAAAJ&hl=en&oi=sra"
"9nmXnowAAAAJ&hl=en&oi=sra","Claudio Singh Solorzano","Sapienza University",28,3,1,"verified email at uniroma1.it",NA,"Health Psychology","Sort by citations;;Sort by year;;Sort by title","9nmXnowAAAAJ&hl=en&oi=sra"
"KwhxST8AAAAJ&hl=en&oi=sra","Ljiljana Lazarevic","Institute of psychology, Faculty of philosophy, Belgrade, Serbia",9141,17,33,"verified email at f.bg.ac.rs",NA,"Personality;;measurement","Goran Knezevic;;Boban Petrovic;;Danka Puric;;Erica Baranski;;Michael Bosnjak;;Brian Nosek;;Ana Orlic;;Iris Žeželj;;Timothy Errington;;Jovana Bjekic;;Predrag Teovanović;;Jeffrey Spies;;Susann Fiedler;;Tom E Hardwicke;;Carina Sonnleitner;;Agnieszka Slowik;;Mallory Kidwell;;Ivana Stepanovic Ilic;;Marko Živanović;;Goran Opacic","KwhxST8AAAAJ&hl=en&oi=sra"
"eARcZWMAAAAJ&hl=en&oi=sra","Giovanni A. Travaglino","Royal Holloway, University of London",1000,19,28,"verified email at rhul.ac.uk - homepage","http://www.cpglab.org/","Social Psychology;;Deviance;;Collective Action;;Organised Crime","Dominic Abrams;;Georgina Randsley de Moura;;Chanki Moon;;Lisbeth Drury;;Hyemin Han;;Fanny Lalot;;Dominik-Borna Ćepulić;;Andreas Lieberoth;;Jesper Rasmussen;;Fabio I. M. Poppi;;Maria Sophia Heering;;Tao Coll-Martín;;Guillaume GAUTREAU;;Orkun Yetkili;;Yuki Yamada;;Marika Rullo;;Ayse K. Uskul;;Özden Melis Uluğ;;Tabea Hässler;;Salvatore Di Piazza","eARcZWMAAAAJ&hl=en&oi=sra"
"tWVt0NQAAAAJ&hl=en&oi=sra","Rachel Searston","The University of Adelaide",440,11,11,"verified email at adelaide.edu.au",NA,"Cognitive Science;;Expertise;;Decision Making;;Forensic Science","Jason Tangen;;Matthew B. Thompson;;Gary Edmond;;Richard Kemp;;David White;;Kristy Martire;;Kaye N. Ballantyne;;Alice Towler;;Gianni Ribeiro;;Bryan Found PhD;;Itiel Dror;;Andrew Roberts;;Kevin Eva;;John Vokey;;Sort by citations;;Sort by year;;Sort by title","tWVt0NQAAAAJ&hl=en&oi=sra"
"JAA8K7UAAAAJ&hl=en&oi=sra","Miguel Silan","University of the Philippines Diliman; Annecy Behavioral Science Lab; Université Lumière Lyon 2",306,4,4,"verified email at up.edu.ph",NA,"Social Influence;;Polarization;;Romantic Love;;Social Methodology;;Meta-Methodology","Sort by citations;;Sort by year;;Sort by title","JAA8K7UAAAAJ&hl=en&oi=sra"
"6i8oqnkAAAAJ&hl=en&oi=sra","Clare Sutherland","University of Aberdeen",1484,18,23,"verified email at abdn.ac.uk - homepage","https://www.abdn.ac.uk/psychology/people/profiles/clare.sutherland/","Face perception;;impression formation;;person perception","Andy Young;;Gillian Rhodes;;Julian Oldmeadow;;Jemma Collova;;Nichola S. Burton;;Romina Palermo;;John Towler;;Isabel M. Santos;;Mike Burt;;Louise Ewing;;Tom Hartley;;Richard J W Vernon;;Michael L. Slepian;;Jessica Kay Flake;;Eric Hehman;;Jeremy B Wilmer;;Yong Zhi Foo;;Amy L. Burton;;Jennifer Kay South Palomares;;Laura Germine","6i8oqnkAAAAJ&hl=en&oi=sra"
"7RBQIjQAAAAJ&hl=en&oi=sra","Jose Angel Soto","Associate Professor of Psychology, Department of Psychology",3419,22,31,"verified email at psu.edu",NA,"Emotion;;Culture;;Health;;Discrimination","Elizabeth A. Lee;;Sort by citations;;Sort by year;;Sort by title","7RBQIjQAAAAJ&hl=en&oi=sra"
"UX0_C9EAAAAJ","Anne Gast","University of Cologne",1490,20,24,"verified email at uni-koeln.de",NA,"","Jan De Houwer;;Pieter Van Dessel;;Dirk Wentura;;Colin Tucker Smith;;Joris Lammers;;Maarten De Schryver;;Bertram Gawronski;;Andreas Voss;;Arne Roets;;Agnes Moors;;Christian Unkelbach;;Nicolas Koranyi;;Florian Kattner;;Adam Galinsky;;Sort by citations;;Sort by year;;Sort by title","UX0_C9EAAAAJ"
"_TQn-HcAAAAJ","Robert Balas","Institute of Psychology, Polish Academy of Sciences",383,9,9,"verified email at psych.pan.pl",NA,"evaluative conditioning;;implicit attitudes;;explicit attitudes;;affective processes;;attitudes","Bertram Gawronski;;Grzegorz Pochwatko;;Xiaoqing Hu;;Sebastian Binyamin Skalski;;Michał Wierzchoń;;Derek Mitchell;;Edward Nęcka;;Yoav Bar-Anan;;Michal Olszanowski;;Tal Moran;;Sean Hughes;;Miguel Vadillo;;Ian Hussey;;Michael Olson;;Olivier Corneille;;Frederik Aust;;Melissa J. Ferguson;;Christoph Stahl;;Mandy Hütter;;Benedek Kurdi","_TQn-HcAAAAJ"
"lacj54MAAAAJ","Tal Moran","The Open University of Israel",333,9,8,"verified email at openu.ac.il",NA,"Social Psychology","Sort by citations;;Sort by year;;Sort by title","lacj54MAAAAJ"
"8pqcwFcAAAAJ","Frederik Aust","University of Amsterdam",2799,12,14,"verified email at uni-koeln.de - homepage","http://frederikaust.com/","Memory;;Learning;;Bayesian statistics;;Computational reproducibility","Henrik Singmann;;Jacob Westfall;;Marius Barth;;Christoph Stahl;;Julia M. Haaf;;Alicia Hofelich Mohr;;Jochen Musch;;Birk Diedenhofen;;Tom E Hardwicke;;Gustav Nilsonne;;Olivier Klein;;Johannes Breuer;;Henrik Danielsson;;wolf vanpaemel;;Michael C. Frank;;Hans (Rocha) IJzerman;;Tobias Heycke;;Alex O. Holcombe;;Marton Kovacs;;Balazs Aczel","8pqcwFcAAAAJ"
