Row(SubjectArea='Health Sciences', Year=1977, Number_Papers=11711, Average_Num_Authors=3.645888480915379, SD_Num_Authors=1.5616152362408107, Min_Num_Authors=2, Med_Num_Authors=3.0, Max_Num_Authors=10, Average_Num_Aff=2.294936384595679, SD_Num_Aff=0.5942572977411184, Min_Num_Aff=2, Med_Num_Aff=2.0, Max_Num_Aff=5)
Row(SubjectArea='Life Sciences', Year=1985, Number_Papers=31239, Average_Num_Authors=3.9828419603700502, SD_Num_Authors=1.6792630991997355, Min_Num_Authors=2, Med_Num_Authors=4.0, Max_Num_Authors=10, Average_Num_Aff=2.2987611639297034, SD_Num_Aff=0.591428359336136, Min_Num_Aff=2, Med_Num_Aff=2.0, Max_Num_Aff=5)
Row(SubjectArea='Physical Sciences', Year=2009, Number_Papers=499265, Average_Num_Authors=4.206862087268284, SD_Num_Authors=1.7926693765557207, Min_Num_Authors=2, Med_Num_Authors=4.0, Max_Num_Authors=10, Average_Num_Aff=2.459369272831062, SD_Num_Aff=0.7261627052086869, Min_Num_Aff=2, Med_Num_Aff=2.0, Max_Num_Aff=5)
Row(SubjectArea='Life Sciences', Year=1993, Number_Papers=65379, Average_Num_Authors=4.4769268419523085, SD_Num_Authors=1.8655762667707418, Min_Num_Authors=2, Med_Num_Authors=4.0, Max_Num_Authors=10, Average_Num_Aff=2.4276755533122256, SD_Num_Aff=0.7026775623159519, Min_Num_Aff=2, Med_Num_Aff=2.0, Max_Num_Aff=5)
Row(SubjectArea='Physical Sciences', Year=1984, Number_Papers=36484, Average_Num_Authors=3.3434382194934766, SD_Num_Authors=1.476090350986552, Min_Num_Authors=2, Med_Num_Authors=3.0, Max_Num_Authors=10, Average_Num_Aff=2.2607170266418155, SD_Num_Aff=0.5522368971916168, Min_Num_Aff=2, Med_Num_Aff=2.0, Max_Num_Aff=5)
Row(SubjectArea='Health Sciences', Year=2017, Number_Papers=303850, Average_Num_Authors=5.502599967089024, SD_Num_Authors=2.160180204762161, Min_Num_Authors=2, Med_Num_Authors=5.0, Max_Num_Authors=10, Average_Num_Aff=2.835998025341451, SD_Num_Aff=0.9538889395233355, Min_Num_Aff=2, Med_Num_Aff=3.0, Max_Num_Aff=5)
Row(SubjectArea='Social Sciences', Year=1997, Number_Papers=22146, Average_Num_Authors=2.990607784701526, SD_Num_Authors=1.3444826572623736, Min_Num_Authors=2, Med_Num_Authors=3.0, Max_Num_Authors=10, Average_Num_Aff=2.366838255215389, SD_Num_Aff=0.6471992219577332, Min_Num_Aff=2, Med_Num_Aff=2.0, Max_Num_Aff=5)
Row(SubjectArea='Health Sciences', Year=1971, Number_Papers=6823, Average_Num_Authors=3.24871757291514, SD_Num_Authors=1.3636035281754832, Min_Num_Authors=2, Med_Num_Authors=3.0, Max_Num_Authors=10, Average_Num_Aff=2.2746592408031656, SD_Num_Aff=0.5708763627684217, Min_Num_Aff=2, Med_Num_Aff=2.0, Max_Num_Aff=5)
Row(SubjectArea='Multidisciplinary', Year=2021, Number_Papers=144130, Average_Num_Authors=4.435558176646083, SD_Num_Authors=2.014930780628266, Min_Num_Authors=2, Med_Num_Authors=4.0, Max_Num_Authors=10, Average_Num_Aff=2.78540900575869, SD_Num_Aff=0.9245180970311878, Min_Num_Aff=2, Med_Num_Aff=3.0, Max_Num_Aff=5)
Row(SubjectArea='Multidisciplinary', Year=1975, Number_Papers=759, Average_Num_Authors=3.2569169960474307, SD_Num_Authors=1.3389345120900795, Min_Num_Authors=2, Med_Num_Authors=3.0, Max_Num_Authors=10, Average_Num_Aff=2.310935441370224, SD_Num_Aff=0.6191951920035392, Min_Num_Aff=2, Med_Num_Aff=2.0, Max_Num_Aff=5)
Row(SubjectArea='Multidisciplinary', Year=2002, Number_Papers=2911, Average_Num_Authors=4.902439024390244, SD_Num_Authors=2.1588380388490767, Min_Num_Authors=2, Med_Num_Authors=5.0, Max_Num_Authors=10, Average_Num_Aff=2.6932325661284784, SD_Num_Aff=0.8763907320996819, Min_Num_Aff=2, Med_Num_Aff=2.0, Max_Num_Aff=5)
