Row(SubjectArea='Health Sciences', Year=1977, Number_Papers=26, Average_Num_Authors=15.346153846153847, SD_Num_Authors=5.44016402467652, Min_Num_Authors=11, Med_Num_Authors=14.0, Max_Num_Authors=30, Average_Num_Aff=8.038461538461538, SD_Num_Aff=1.9074751737471023, Min_Num_Aff=6, Med_Num_Aff=7.5, Max_Num_Aff=11)
Row(SubjectArea='Life Sciences', Year=1985, Number_Papers=90, Average_Num_Authors=21.744444444444444, SD_Num_Authors=26.75967161548865, Min_Num_Authors=11, Med_Num_Authors=14.0, Max_Num_Authors=192, Average_Num_Aff=9.922222222222222, SD_Num_Aff=6.190292831790823, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=51)
Row(SubjectArea='Physical Sciences', Year=2009, Number_Papers=5526, Average_Num_Authors=46.59048136083967, SD_Num_Authors=108.58010305745404, Min_Num_Authors=11, Med_Num_Authors=16.0, Max_Num_Authors=2519, Average_Num_Aff=13.487694534925806, SD_Num_Aff=16.1389479335961, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=188)
Row(SubjectArea='Life Sciences', Year=1993, Number_Papers=432, Average_Num_Authors=18.85185185185185, SD_Num_Authors=19.55541347296576, Min_Num_Authors=11, Med_Num_Authors=14.0, Max_Num_Authors=217, Average_Num_Aff=9.82638888888889, SD_Num_Aff=5.343421735099504, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=48)
Row(SubjectArea='Physical Sciences', Year=1984, Number_Papers=284, Average_Num_Authors=45.901408450704224, SD_Num_Authors=34.04866811094669, Min_Num_Authors=11, Med_Num_Authors=35.0, Max_Num_Authors=142, Average_Num_Aff=8.76056338028169, SD_Num_Aff=3.3593487032086533, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=26)
Row(SubjectArea='Health Sciences', Year=2017, Number_Papers=27502, Average_Num_Authors=21.829503308850267, SD_Num_Authors=56.42286190468596, Min_Num_Authors=11, Med_Num_Authors=15.0, Max_Num_Authors=3390, Average_Num_Aff=11.560759217511453, SD_Num_Aff=13.466522294024125, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=601)
Row(SubjectArea='Social Sciences', Year=1997, Number_Papers=54, Average_Num_Authors=15.314814814814815, SD_Num_Authors=5.852991733225867, Min_Num_Authors=11, Med_Num_Authors=13.0, Max_Num_Authors=36, Average_Num_Aff=9.37037037037037, SD_Num_Aff=2.973444075740849, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=18)
Row(SubjectArea='Multidisciplinary', Year=2021, Number_Papers=11127, Average_Num_Authors=76.99991012851622, SD_Num_Authors=299.7635219025939, Min_Num_Authors=11, Med_Num_Authors=17.0, Max_Num_Authors=3487, Average_Num_Aff=18.879032982834545, SD_Num_Aff=35.50456163697161, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=822)
Row(SubjectArea='Multidisciplinary', Year=2002, Number_Papers=117, Average_Num_Authors=25.735042735042736, SD_Num_Authors=29.92357885957827, Min_Num_Authors=11, Med_Num_Authors=16.0, Max_Num_Authors=222, Average_Num_Aff=9.247863247863247, SD_Num_Aff=5.829334236112221, Min_Num_Aff=6, Med_Num_Aff=7.0, Max_Num_Aff=41)
Row(SubjectArea='Physical Sciences', Year=1980, Number_Papers=153, Average_Num_Authors=34.11764705882353, SD_Num_Authors=25.687633000416493, Min_Num_Authors=11, Med_Num_Authors=22.0, Max_Num_Authors=97, Average_Num_Aff=8.392156862745098, SD_Num_Aff=3.2811970178532475, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=27)
Row(SubjectArea='Health Sciences', Year=1973, Number_Papers=27, Average_Num_Authors=63.03703703703704, SD_Num_Authors=163.27454026447447, Min_Num_Authors=11, Med_Num_Authors=15.0, Max_Num_Authors=638, Average_Num_Aff=15.814814814814815, SD_Num_Aff=24.523202572002386, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=110)
