"last","first","middle","TITLE","ORCID"
"Klein","Richard","A.","investigating variation in replicability a many labs replication project","0000-0002-8713-1972"
"Ratliff","Kate","A.","investigating variation in replicability a many labs replication project",NA
"Vianello","Michelangelo",NA,"investigating variation in replicability a many labs replication project","0000-0002-1530-1469"
"Adams","Reginald","B.","investigating variation in replicability a many labs replication project",NA
"Bahník","Štěpán",NA,"investigating variation in replicability a many labs replication project",NA
"Bernstein","Michael","J.","investigating variation in replicability a many labs replication project",NA
"Bocian","Konrad",NA,"investigating variation in replicability a many labs replication project","0000-0002-8652-0167"
"Brandt","Mark","J.","investigating variation in replicability a many labs replication project",NA
"Brooks","Beach",NA,"investigating variation in replicability a many labs replication project",NA
"Brumbaugh","Claudia","Chloe","investigating variation in replicability a many labs replication project",NA
"Cemalcilar","Zeynep",NA,"investigating variation in replicability a many labs replication project",NA
"Chandler","Jesse",NA,"investigating variation in replicability a many labs replication project",NA
"Cheong","Winnee",NA,"investigating variation in replicability a many labs replication project",NA
"Davis","William","E.","investigating variation in replicability a many labs replication project",NA
"Devos","Thierry",NA,"investigating variation in replicability a many labs replication project",NA
"Eisner","Matthew",NA,"investigating variation in replicability a many labs replication project",NA
"Frankowska","Natalia",NA,"investigating variation in replicability a many labs replication project",NA
"Furrow","David",NA,"investigating variation in replicability a many labs replication project",NA
"Galliani","Elisa","Maria","investigating variation in replicability a many labs replication project",NA
"Hasselman","Fred",NA,"investigating variation in replicability a many labs replication project",NA
"Hicks","Joshua","A.","investigating variation in replicability a many labs replication project",NA
"Hovermale","James","F.","investigating variation in replicability a many labs replication project",NA
"Hunt","S.","Jane","investigating variation in replicability a many labs replication project",NA
"Huntsinger","Jeffrey","R.","investigating variation in replicability a many labs replication project",NA
"IJzerman","Hans",NA,"investigating variation in replicability a many labs replication project",NA
"John","Melissa-Sue",NA,"investigating variation in replicability a many labs replication project",NA
"Joy-Gaba","Jennifer","A.","investigating variation in replicability a many labs replication project",NA
"Barry Kappes","Heather",NA,"investigating variation in replicability a many labs replication project",NA
"Krueger","Lacy","E.","investigating variation in replicability a many labs replication project",NA
"Kurtz","Jaime",NA,"investigating variation in replicability a many labs replication project",NA
"Levitan","Carmel","A.","investigating variation in replicability a many labs replication project",NA
"Mallett","Robyn","K.","investigating variation in replicability a many labs replication project",NA
"Morris","Wendy","L.","investigating variation in replicability a many labs replication project",NA
"Nelson","Anthony","J.","investigating variation in replicability a many labs replication project",NA
"Nier","Jason","A.","investigating variation in replicability a many labs replication project",NA
"Packard","Grant",NA,"investigating variation in replicability a many labs replication project",NA
"Pilati","Ronaldo",NA,"investigating variation in replicability a many labs replication project",NA
"Rutchick","Abraham","M.","investigating variation in replicability a many labs replication project",NA
"Schmidt","Kathleen",NA,"investigating variation in replicability a many labs replication project",NA
"Skorinko","Jeanine","L.","investigating variation in replicability a many labs replication project",NA
"Smith","Robert",NA,"investigating variation in replicability a many labs replication project",NA
"Steiner","Troy","G.","investigating variation in replicability a many labs replication project",NA
"Storbeck","Justin",NA,"investigating variation in replicability a many labs replication project",NA
"Van Swol","Lyn","M.","investigating variation in replicability a many labs replication project",NA
"Thompson","Donna",NA,"investigating variation in replicability a many labs replication project",NA
"van ‘t Veer","A.","E.","investigating variation in replicability a many labs replication project",NA
"Ann Vaughn","Leigh",NA,"investigating variation in replicability a many labs replication project",NA
"Vranka","Marek",NA,"investigating variation in replicability a many labs replication project",NA
"Wichman","Aaron","L.","investigating variation in replicability a many labs replication project",NA
"Woodzicka","Julie","A.","investigating variation in replicability a many labs replication project",NA
