"put_code","type","visibility","path","display_index","created_date_value","last_modified_date_value","source_source_client_id","source_assertion_origin_orcid","source_assertion_origin_client_id","source_assertion_origin_name","source_source_orcid_uri","source_source_orcid_path","source_source_orcid_host","source_source_name_value","title_subtitle","title_translated_title","title_title_value","url_value","publication_date_year_value","publication_date_month_value","publication_date_day_value","journal_title_value","journal_title","source_source_orcid","source_source_client_id_uri","source_source_client_id_path","source_source_client_id_host","source_assertion_origin_orcid_uri","source_assertion_origin_orcid_path","source_assertion_origin_orcid_host","source_assertion_origin_name_value","publication_date_day","our_type","publication_date_month","url","title_translated_title_value","title_translated_title_language_code","publication_date","external_ids","ORCID"
100513331,"book-chapter","public","/0000-0001-5893-2546/work/100513331","1",2021-09-25,1632555733142,NA,NA,NA,NA,"https://orcid.org/0000-0001-5893-2546","0000-0001-5893-2546","orcid.org","Lesley-Ann Gunton",NA,NA,"engaging and enthusing students in the physical and virtual classroom","https://www.routledge.com/Organisation-Studies-and-Human-Resource-Management-An-Educators-Handbook/Black-Warhurst/p/book/9780367206901","2021","11","11","Organisation Studies and Human Resource Management An Educator's Handbook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"book-chapter",NA,NA,NA,NA,NA,NA,"0000-0001-5893-2546"
100513246,"preprint","public","/0000-0001-5893-2546/work/100513246","0",2021-09-25,1632555522305,NA,NA,NA,NA,NA,NA,NA,"Europe PubMed Central",NA,NA,"a global experiment on motivating social distancing during the covid 19 pandemic","http://europepmc.org/abstract/PPR/PPR349964","2021","05",NA,NA,NA,NA,"https://orcid.org/client/0000-0002-9157-3431","0000-0002-9157-3431","orcid.org","https://orcid.org/0000-0001-5893-2546","0000-0001-5893-2546","orcid.org","Lesley-Ann Gunton",NA,"open_science_pubs",NA,NA,NA,NA,NA,NA,"0000-0001-5893-2546"
100513409,"dissertation-thesis","public","/0000-0001-5893-2546/work/100513409","1",2021-09-25,1632555960081,NA,NA,NA,NA,"https://orcid.org/0000-0001-5893-2546","0000-0001-5893-2546","orcid.org","Lesley-Ann Gunton",NA,NA,"exploring the role of uk public sector managers in rewarding their employees  a self determination theory perspective","http://nrl.northumbria.ac.uk/id/eprint/38090","2019","02","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dissertation-thesis",NA,NA,NA,NA,NA,NA,"0000-0001-5893-2546"
107495212,"journal-article","public","/0000-0002-1692-0413/work/107495212","0",2022-02-02,1643813030587,NA,NA,NA,NA,NA,NA,NA,"Europe PubMed Central",NA,NA,"a multi country test of brief reappraisal interventions on emotions during the covid 19 pandemic ","http://europepmc.org/abstract/med/34341554","2021","08",NA,"Nature human behaviour",NA,NA,"https://orcid.org/client/0000-0002-9157-3431","0000-0002-9157-3431","orcid.org","https://orcid.org/0000-0002-1692-0413","0000-0002-1692-0413","orcid.org","Anthony Krafnick",NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-1692-0413"
107495213,"preprint","public","/0000-0002-1692-0413/work/107495213","0",2022-02-02,1643813030680,NA,NA,NA,NA,NA,NA,NA,"Europe PubMed Central",NA,NA,"a global experiment on motivating social distancing during the covid 19 pandemic","http://europepmc.org/abstract/PPR/PPR349964","2021","05",NA,NA,NA,NA,"https://orcid.org/client/0000-0002-9157-3431","0000-0002-9157-3431","orcid.org","https://orcid.org/0000-0002-1692-0413","0000-0002-1692-0413","orcid.org","Anthony Krafnick",NA,"open_science_pubs",NA,NA,NA,NA,NA,NA,"0000-0002-1692-0413"
74297497,"journal-article","public","/0000-0002-1692-0413/work/74297497","1",2020-05-20,1589981912250,NA,NA,NA,NA,"https://orcid.org/0000-0002-1692-0413","0000-0002-1692-0413","orcid.org","Anthony Krafnick",NA,NA,"a meta analysis of gray matter differences between bilinguals and monolinguals","http://dx.doi.org/10.3389/fnhum.2020.00146","2020","04","23","Frontiers in Human Neuroscience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-1692-0413"
107495216,"preprint","public","/0000-0002-1692-0413/work/107495216","0",2022-02-02,1643813030910,NA,NA,NA,NA,NA,NA,NA,"Europe PubMed Central",NA,NA,"a global test of brief reappraisal interventions on emotions during the covid 19 pandemic","http://europepmc.org/abstract/PPR/PPR320416","2020","04",NA,NA,NA,NA,"https://orcid.org/client/0000-0002-9157-3431","0000-0002-9157-3431","orcid.org","https://orcid.org/0000-0002-1692-0413","0000-0002-1692-0413","orcid.org","Anthony Krafnick",NA,"open_science_pubs",NA,NA,NA,NA,NA,NA,"0000-0002-1692-0413"
107495215,"preprint","public","/0000-0002-1692-0413/work/107495215","0",2022-02-02,1643813030841,NA,NA,NA,NA,NA,NA,NA,"Europe PubMed Central",NA,NA,"a meta analysis of gray matter volume differences between bilinguals and monolinguals","http://europepmc.org/abstract/PPR/PPR331456","2019","11",NA,NA,NA,NA,"https://orcid.org/client/0000-0002-9157-3431","0000-0002-9157-3431","orcid.org","https://orcid.org/0000-0002-1692-0413","0000-0002-1692-0413","orcid.org","Anthony Krafnick",NA,"open_science_pubs",NA,NA,NA,NA,NA,NA,"0000-0002-1692-0413"
67127511,"journal-article","public","/0000-0002-1692-0413/work/67127511","0",2020-01-10,1578693516340,NA,NA,NA,NA,NA,NA,NA,"Scopus - Elsevier",NA,NA,"neurobiological sex differences in developmental dyslexia","http://www.scopus.com/inward/record.url?eid=2-s2.0-85059765547&partnerID=MN8TOARS","2019",NA,NA,"Frontiers in Psychology",NA,NA,"https://orcid.org/client/0000-0002-5982-8983","0000-0002-5982-8983","orcid.org","https://orcid.org/0000-0002-1692-0413","0000-0002-1692-0413","orcid.org","Anthony Krafnick",NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-1692-0413"
107495214,"preprint","public","/0000-0002-1692-0413/work/107495214","0",2022-02-02,1643813030770,NA,NA,NA,NA,NA,NA,NA,"Europe PubMed Central",NA,NA,"accelerated crep   rrr  turri  buckwalter    blouw  2015 ","http://europepmc.org/abstract/PPR/PPR321832","2018","10",NA,NA,NA,NA,"https://orcid.org/client/0000-0002-9157-3431","0000-0002-9157-3431","orcid.org","https://orcid.org/0000-0002-1692-0413","0000-0002-1692-0413","orcid.org","Anthony Krafnick",NA,"open_science_pubs",NA,NA,NA,NA,NA,NA,"0000-0002-1692-0413"
44408689,"journal-article","public","/0000-0002-1692-0413/work/44408689","0",2018-05-07,1525707893526,NA,NA,NA,NA,NA,NA,NA,"Scopus - Elsevier",NA,NA,"chinese character and english word processing in children s ventral occipitotemporal cortex  fmri evidence for script invariance","http://www.scopus.com/inward/record.url?eid=2-s2.0-84962030409&partnerID=MN8TOARS","2016",NA,NA,"NeuroImage",NA,NA,"https://orcid.org/client/0000-0002-5982-8983","0000-0002-5982-8983","orcid.org","https://orcid.org/0000-0002-1692-0413","0000-0002-1692-0413","orcid.org","Anthony Krafnick",NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-1692-0413"
67127510,"book-chapter","public","/0000-0002-1692-0413/work/67127510","0",2020-01-10,1578693516339,NA,NA,NA,NA,NA,NA,NA,"Scopus - Elsevier",NA,NA,"developmental dyslexia","http://www.scopus.com/inward/record.url?eid=2-s2.0-85072175215&partnerID=MN8TOARS","2015",NA,NA,"Neurobiology of Language",NA,NA,"https://orcid.org/client/0000-0002-5982-8983","0000-0002-5982-8983","orcid.org","https://orcid.org/0000-0002-1692-0413","0000-0002-1692-0413","orcid.org","Anthony Krafnick",NA,"book-chapter",NA,NA,NA,NA,NA,NA,"0000-0002-1692-0413"
